FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
1,"一","one",2016-11-23 07:46:47,2017-11-14,8,0,9
2,"二","two",2016-12-11 20:30:22,2017-11-12,8,0,10
3,"三","three",2017-01-06 09:45:53,2018-01-10,8,0,9
4,"四","four",2017-05-22 09:20:59,2017-11-29,7,1,15
5,"五","five",2016-12-27 18:23:26,2017-12-05,8,0,9
6,"六","six",2016-11-27 16:46:23,2017-11-05,8,0,9
7,"七","seven",2016-11-23 07:46:46,2017-07-09,8,0,9
8,"八","eight",2017-04-03 10:08:48,2017-12-12,8,1,9
9,"九","nine",2016-11-23 07:45:23,2017-07-29,8,0,9
10,"十","ten",2016-11-28 12:50:08,2017-12-01,8,0,9
11,"口","mouth",2016-12-29 20:41:08,2017-12-08,8,0,9
12,"日","day",2016-12-02 07:50:33,2017-11-17,8,0,10
13,"月","month",2016-11-23 07:45:23,2017-07-27,8,0,9
14,"田","rice field",2016-11-22 08:28:51,2017-07-06,8,1,14
15,"目","eye",2016-12-30 22:03:44,2018-01-13,8,0,9
16,"古","old",2017-04-03 10:04:16,2017-11-18,8,1,9
17,"吾","I",2017-03-14 10:37:13,2017-07-12,7,10,39
18,"冒","risk",2017-05-28 20:41:01,2017-07-20,6,2,14
19,"朋","companion",2017-05-23 07:01:06,2017-06-26,5,6,25
20,"明","bright",2017-03-08 10:46:57,2017-06-24,7,1,15
21,"唱","chant",2017-02-15 09:36:13,2017-06-21,7,2,14
22,"晶","sparkle",2017-05-18 07:16:17,2017-07-13,6,3,16
23,"品","goods",2016-11-23 07:43:50,2017-07-17,8,1,15
24,"呂","spine",2017-02-22 21:24:41,2017-06-16,7,3,17
25,"昌","prosperous",2017-03-14 10:05:11,2017-12-01,8,2,15
26,"早","early",2017-05-30 07:08:19,2017-09-14,7,2,10
27,"旭","rising sun",2017-02-15 09:36:13,2017-06-29,7,3,20
28,"世","generation",2017-03-14 09:25:03,2017-10-10,8,1,11
29,"胃","stomach",2017-04-28 11:37:18,2017-08-12,7,4,24
30,"旦","nightbreak",2017-05-26 09:03:47,2018-01-10,8,3,20
31,"胆","gall bladder",2017-04-03 09:46:37,2017-08-05,7,3,17
32,"亘","span",2017-03-19 11:33:18,2017-10-19,8,1,10
33,"凹","concave",2017-04-03 09:46:37,2017-07-24,7,3,17
34,"凸","convex",2017-05-31 07:39:27,2018-01-09,8,2,15
35,"旧","olden times",2017-04-24 21:52:07,2017-10-14,7,3,15
36,"自","oneself",2017-02-17 16:45:57,2017-06-22,7,3,19
37,"白","white",2016-12-05 13:11:29,2017-11-12,8,0,9
38,"百","hundred",2017-04-03 09:55:25,2017-11-14,8,1,9
39,"中","in",2016-12-29 06:16:58,2018-01-22,8,0,10
40,"千","thousand",2017-04-03 10:10:28,2017-11-21,8,1,9
41,"舌","tongue",2017-03-14 10:34:36,2017-07-10,7,1,15
42,"升","measuring box",2017-04-03 10:04:16,2017-11-11,8,2,14
43,"昇","rise up",2017-05-30 08:01:04,2017-06-27,5,8,35
44,"丸","round",2017-03-03 10:02:52,2017-07-11,7,2,15
45,"寸","measurement",2017-04-26 11:15:12,2017-09-04,7,5,23
46,"肘","elbow",2017-05-27 22:39:03,2017-09-20,7,5,23
47,"専","specialty",2017-06-01 07:00:16,2017-06-12,4,10,40
48,"博","Dr.",2017-05-26 09:03:47,2017-12-24,8,4,22
49,"占","fortune-telling",2017-05-04 07:06:36,2017-09-09,7,2,17
50,"上","above",2017-03-19 11:38:56,2017-10-27,8,1,10
51,"下","below",2017-03-14 09:25:03,2018-03-13,8,1,10
52,"卓","eminent",2017-06-04 11:18:58,2017-07-08,5,4,20
53,"朝","morning",2017-06-03 07:01:04,2017-07-31,6,3,16
54,"嘲","derision",2017-04-03 10:45:10,2017-07-24,7,9,29
55,"只","only",2017-01-01 23:04:59,2017-09-24,8,1,13
56,"貝","shellfish",2017-01-06 08:45:30,2018-01-17,8,0,9
57,"唄","pop song",2017-05-27 22:37:15,2017-09-24,7,5,13
58,"貞","upright",2017-05-22 13:37:14,2017-07-11,6,2,15
59,"員","employee",2016-12-24 18:53:14,2017-12-14,8,0,9
60,"貼","post a bill(stick)",2017-05-22 09:17:10,2017-06-18,5,17,43
61,"見","see",2017-04-03 10:08:47,2017-12-14,8,1,10
62,"児","newborn babe",2017-04-17 12:47:39,2017-08-13,7,4,25
63,"元","beginning",2017-04-03 10:08:47,2017-12-04,8,3,17
64,"頁","page",2017-04-03 10:04:16,2017-11-16,8,1,10
